-12.4996,50.0000
-12.4993,50.0000
-12.0980,49.8332
-11.6892,49.6789
-11.1825,49.5474
-10.4208,49.4971
-9.6294,49.4321
-8.8122,49.3481
-8.0245,49.2482
-7.2127,49.1227
-6.4319,48.9778
-5.9727,48.8806
-5.9711,48.8772
-6.0022,48.2803
-6.0697,47.4896
-6.1684,46.7018
-6.3148,45.8939
-6.4876,45.1193
-6.6687,44.3462
-6.8407,43.7365
-6.8444,43.7342
-7.4336,43.6353
-8.2377,43.4686
-9.0073,43.2739
-9.7926,43.0337
-10.5383,42.7618
-11.2683,42.4501
-11.9811,42.1006
-12.6761,41.7171
-13.3776,41.2900
-13.6111,41.1398
-13.6111,41.1398
-13.6110,41.1398
-13.6110,41.1398
-13.6110,41.1399
-13.6109,41.1399
-13.6109,41.1399
-14.0362,40.8013
-14.6545,40.3032
-15.2928,39.7863
-15.9089,39.2854
-16.1721,39.0122
-16.6623,38.3533
-17.1529,37.7290
-17.6775,37.1330
-18.2500,36.5440
-18.8225,35.9938
-18.9245,35.9003
-18.9175,35.3563
-18.9150,34.5350
-18.9117,33.7410
-18.9061,32.9470
-18.8972,32.1531
-18.8831,31.3319
-18.8621,30.5382
-18.8491,30.1789
-18.6869,30.0450
-18.0734,29.5411
-17.4566,29.0410
-17.1105,28.7585
-16.5234,28.5440
-16.0114,28.3362
-15.3691,28.2211
-14.5939,28.0496
-14.4824,28.0208
-14.4827,28.0209
-14.4824,28.0209
-14.4823,28.0209
-14.4830,28.0217
-14.4849,28.0226
-14.4866,28.0236
-14.4837,28.0214
-14.4819,27.9446
-14.4476,27.1241
-14.3855,26.3328
-14.3530,25.7348
-14.4257,24.9460
-14.5393,24.1331
-14.6845,23.3503
-14.6376,22.7772
-14.5463,21.9617
-14.4404,21.1733
-14.2962,20.3625
-14.1324,19.5842
-13.9493,18.8088
-13.7466,18.0398
-13.5139,17.2512
-13.2723,16.4938
-13.0048,15.7146
-12.7214,14.9732
-12.4256,14.2350
-12.1095,13.5037
-11.7459,12.7613
-11.5359,12.3673
-11.4916,11.6094
-11.4075,10.7926
-11.2941,10.0071
-11.1414,9.2281
-10.9494,8.4297
-10.7315,7.6664
-10.4814,6.9131
-10.4545,6.5361
-10.5712,5.7229
-10.7199,4.9436
-10.8953,4.1676
-11.0884,3.3962
-11.2950,2.6295
-11.5234,1.8690
-11.8659,1.4454
-12.3801,0.8403
-12.8443,0.3333
-13.2234,-0.2972
-13.6535,-0.9633
-14.1154,-1.6426
-14.5777,-2.2881
-15.0670,-2.9134
-15.5795,-3.5199
-16.1432,-4.1173
-16.4002,-4.4897
-16.7137,-5.2488
-17.0399,-5.9727
-17.3711,-6.6943
-17.7380,-7.4292
-18.1217,-8.1243
-18.3470,-8.5038
-18.4017,-9.2922
-18.4954,-10.0807
-18.5876,-10.6790
-18.4233,-11.3674
